"ProdLine","ItemNumber","Description","StdPrice","Multiplier","Price","ProdLinePricing","BreakQty1","PriceRate1","BreakQty2","PriceRate2","BestPrice"
"AMEC","10885-0020A","CP Index Btn",4.20,"0.5166 ",2.17,0.00,0.00,0.00,0.00,0.00,2.17
"AMEC","10885-0990A","PB Index Btn",3.29,"0.5166 ",1.70,0.00,0.00,0.00,0.00,0.00,1.70
"AMEC","10889-0020A","CP Lever Hdle",12.90,"0.5166 ",6.66,0.00,0.00,0.00,0.00,0.00,6.66
"AMEC","10921-0020A","Screw",2.11,"0.5166 ",1.09,0.00,0.00,0.00,0.00,0.00,1.09
"AMEC","10921-0900","Screw",0.76,"0.5166 ",0.39,0.00,0.00,0.00,0.00,0.00,0.39
"AMEC","1101-2700","Sleeve",3.80,"0.5166 ",1.96,0.00,0.00,0.00,0.00,0.00,1.96
"AMEC","11014-0070A","Mtg Kit",10.37,"0.5166 ",5.36,0.00,0.00,0.00,0.00,0.00,5.36
"AMEC","1106-1700","Washer",1.20,"0.5166 ",0.62,0.00,0.00,0.00,0.00,0.00,0.62
"AMEC","11072-0020A","CP Esch Kit",25.20,"0.5166 ",13.02,0.00,0.00,0.00,0.00,0.00,13.02
"AMEC","11072-0200A","WH Esch Kit",20.78,"0.5166 ",10.73,0.00,0.00,0.00,0.00,0.00,10.73
"AMEC","11072-0990A","PB Esch Kit",65.80,"0.5166 ",33.99,0.00,0.00,0.00,0.00,0.00,33.99
"AMEC","11077-0170A","Dial Plate",4.20,"0.5166 ",2.17,0.00,0.00,0.00,0.00,0.00,2.17
"AMEC","11083-0070A","Wall Support",9.40,"0.5166 ",4.86,0.00,0.00,0.00,0.00,0.00,4.86
"AMEC","1115-0700","Nut",0.45,"0.5166 ",0.23,0.00,0.00,0.00,0.00,0.00,0.23
"AMEC","11172-0070A","Plunger",3.20,"0.5166 ",1.65,0.00,0.00,0.00,0.00,0.00,1.65
"AMEC","11176-0070A","Float Rod",8.50,"0.5166 ",4.39,0.00,0.00,0.00,0.00,0.00,4.39
"AMEC","1118-0100","Screw",1.52,"0.5166 ",0.79,0.00,0.00,0.00,0.00,0.00,0.79
"AMEC","11190-0070A","Plastic Refill Clip",1.33,"0.5166 ",0.69,0.00,0.00,0.00,0.00,0.00,0.69
"AMEC","11194-0070A","Rod w/ Ball & Pin",14.20,"0.5166 ",7.34,0.00,0.00,0.00,0.00,0.00,7.34
"AMEC","113-1700","Brass Washer",0.70,"0.5166 ",0.36,0.00,0.00,0.00,0.00,0.00,0.36
"AMEC","1130-1700","Screw",0.63,"0.5166 ",0.33,0.00,0.00,0.00,0.00,0.00,0.33
"AMEC","11350-0020A","Wall Hook",55.20,"0.5166 ",28.52,0.00,0.00,0.00,0.00,0.00,28.52
"AMEC","11372-0070A","Plunger Rep Kit",10.00,"0.5166 ",5.17,0.00,0.00,0.00,0.00,0.00,5.17
"AMEC","11389-0700","Oring",0.98,"0.5166 ",0.51,0.00,0.00,0.00,0.00,0.00,0.51
"AMEC","11396-0070A","Float Rod",3.35,"0.5166 ",1.73,0.00,0.00,0.00,0.00,0.00,1.73
"AMEC","11407-0020A","Stop 7696029",115.20,"0.5166 ",59.51,0.00,0.00,0.00,0.00,0.00,59.51
"AMEC","1147-0700","Screw",1.10,"0.5166 ",0.57,0.00,0.00,0.00,0.00,0.00,0.57
"AMEC","1150-0700","Stem Nut",1.90,"0.5166 ",0.98,0.00,0.00,0.00,0.00,0.00,0.98
"AMEC","11539-0200","Angle Stop",55.31,"0.5166 ",28.57,0.00,0.00,0.00,0.00,0.00,28.57
"AMEC","116-0700","Washer",0.57,"0.5166 ",0.29,0.00,0.00,0.00,0.00,0.00,0.29
"AMEC","117-0020A","Cover Screw",3.20,"0.5166 ",1.65,0.00,0.00,0.00,0.00,0.00,1.65
"AMEC","117-0700","Slip Joint Washer",1.47,"0.5166 ",0.76,0.00,0.00,0.00,0.00,0.00,0.76
"AMEC","1171-2700","Seat Washer",0.40,"0.5166 ",0.21,0.00,0.00,0.00,0.00,0.00,0.21
"AMEC","1173-3100","Screw",0.40,"0.5166 ",0.21,0.00,0.00,0.00,0.00,0.00,0.21
"AMEC","1174-1700","Brass Spring Chamber",6.99,"0.5166 ",3.61,0.00,0.00,0.00,0.00,0.00,3.61
"AMEC","1178-1700","Hose",4.52,"0.5166 ",2.34,0.00,0.00,0.00,0.00,0.00,2.34
"AMEC","1179-2700","Spring",2.85,"0.5166 ",1.47,0.00,0.00,0.00,0.00,0.00,1.47
"AMEC","1181-1700","Screw",0.95,"0.5166 ",0.49,0.00,0.00,0.00,0.00,0.00,0.49
"AMEC","1185-1210","Cold Lever Hdle",10.90,"0.5166 ",5.63,0.00,0.00,0.00,0.00,0.00,5.63
"AMEC","1185-1230","Hot Lever Hdle",10.90,"0.5166 ",5.63,0.00,0.00,0.00,0.00,0.00,5.63
"AMEC","1187-0070A","Key",11.80,"0.5166 ",6.10,0.00,0.00,0.00,0.00,0.00,6.10
"AMEC","1187-0700","Key",11.80,"0.5166 ",6.10,0.00,0.00,0.00,0.00,0.00,6.10
"AMEC","1188-0700","Spring",1.78,"0.5166 ",0.92,0.00,0.00,0.00,0.00,0.00,0.92
"AMEC","12002-0900","Valve Seat",4.60,"0.5166 ",2.38,0.00,0.00,0.00,0.00,0.00,2.38
"AMEC","12004-0700","Stem & Spring",4.50,"0.5166 ",2.32,0.00,0.00,0.00,0.00,0.00,2.32
"AMEC","12007-0700","Washer",0.45,"0.5166 ",0.23,0.00,0.00,0.00,0.00,0.00,0.23
"AMEC","12018-0070A","Plunger Rep Kit",5.70,"0.5166 ",2.94,0.00,0.00,0.00,0.00,0.00,2.94
"AMEC","12078-0070A","Cplg Kit",10.80,"0.5166 ",5.58,0.00,0.00,0.00,0.00,0.00,5.58
"AMEC","12086-0200A","WH Pop up Rod",7.13,"0.5166 ",3.68,0.00,0.00,0.00,0.00,0.00,3.68
